,result,table,_start,_stop,_time,_value,_field,_measurement,host,timestamp
,,29,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T07:57:00Z,-14,delta,delta_block_time,xmev-capture,1648454186369
,,30,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:13:00Z,-22,delta,delta_block_time,xmev-capture,1648455123029
,,31,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T07:52:00Z,-20,delta,delta_block_time,xmev-capture,1648453898161
,,32,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T07:48:00Z,-12,delta,delta_block_time,xmev-capture,1648453653979
,,33,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:21:00Z,-46,delta,delta_block_time,xmev-capture,1648455607419
,,34,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T07:49:00Z,-28,delta,delta_block_time,xmev-capture,1648453698013
,,35,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:31:00Z,-28,delta,delta_block_time,xmev-capture,1648456235859
,,36,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:39:00Z,-19,delta,delta_block_time,xmev-capture,1648456708192
,,37,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T07:45:00Z,-17,delta,delta_block_time,xmev-capture,1648453465840
,,38,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:54:00Z,-20,delta,delta_block_time,xmev-capture,1648461215414
,,39,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:58:00Z,-36,delta,delta_block_time,xmev-capture,1648461471592
